source,app,title,description,datamodel,"providing_technologies","security_domain",category,"use_case",mitre,killchain,"detection_searches","investigative_searches","contextual_searches","support_searches",qualifiedSearch
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Lateral Movement","Detect and investigate tactics techniques and procedures around how attackers move laterally within the enterprise. Because lateral movement can expose the adversary to detection it should be an important focus for security analysts.",,"Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,"Adversary Tactics",,"Execution | Lateral Movement | Pass the Hash | Persistence | Privilege Escalation | Remote Desktop Protocol | Scheduled Task","Actions on Objectives","ESCU - Detect Activity Related to Pass the Hash Attacks - Rule | ESCU - Remote Desktop Network Traffic - Rule | ESCU - Remote Desktop Process Running On System - Rule | ESCU - Schtasks scheduling job on remote system - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Process Information For Port Activity | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table | ESCU - Investigate Successful Remote Desktop Authentications",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Malicious PowerShell","Attackers are finding stealthy ways ""live off the land"" leveraging utilities and tools that come standard on the endpoint--such as PowerShell--to achieve their goals without downloading binary files. These searches can help you detect and investigate PowerShell command-line options that may be indicative of malicious intent.",,"Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Splunk Enterprise Security | Sysmon | Tanium | Ziften | macOS",,"Adversary Tactics",,"Execution | PowerShell | Scripting","Actions on Objectives | Command and Control | Installation","ESCU - Attempt To Set Default PowerShell Execution Policy To Unrestricted or Bypass - Rule | ESCU - Malicious PowerShell Process - Connect To Internet With Hidden Window - Rule | ESCU - Malicious PowerShell Process - Encoded Command - Rule | ESCU - Malicious PowerShell Process - Multiple Suspicious Command-Line Arguments - Rule | ESCU - Malicious PowerShell Process With Obfuscation Techniques - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Monitor Backup Solution","Address common concerns when monitoring your backup processes. These searches can help you reduce risks from ransomware device theft or denial of physical access to a host by backing up data on endpoints.",,"Netbackup | Splunk Enterprise Security",,"Best Practices",,,,"ESCU - Extended Period Without Successful Netbackup Backups - Rule | ESCU - Unsuccessful Netbackup backups - Rule","ESCU - All backup logs for host | ESCU - Get Notable History | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User",,"ESCU - Monitor Successful Backups | ESCU - Monitor Unsuccessful Backups",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Monitor for Unauthorized Software","Identify and investigate prohibited/unauthorized software or processes that may be concealing malicious behavior within your environment.",,"Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Nessus | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,"Best Practices",,Execution,"Actions on Objectives | Command and Control | Installation","ESCU - Prohibited Software On Endpoint - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get Update Logs For Endpoint | ESCU - Get User Information from Identity Table | ESCU - Get Vulnerability Logs For Endpoint | ESCU - Investigate Web Activity From Host",,"ESCU - Add Prohibited Processes to Enterprise Security",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Monitor for Updates","Monitor your enterprise to ensure that your endpoints are being patched and updated. Adversaries notoriously exploit known vulnerabilities that could be mitigated by applying routine security patches.",,"Microsoft Windows | Splunk Enterprise Security",,"Best Practices",,,,"ESCU - No Windows Updates in a time frame - Rule","ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Risk Modifiers For Endpoint",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Netsh Abuse","Detect activities and various techniques associated with the abuse of `netsh.exe` which can disable local firewall settings or set up a remote connection to a host from an infected system.",,"Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,Abuse,,"Command-Line Interface | Defense Evasion | Disabling Security Tools | Execution | Persistence","Actions on Objectives","ESCU - Processes created by netsh - Rule | ESCU - Processes launching netsh - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table | ESCU - Investigate Web Activity From Host",,"ESCU - Baseline of SMB Traffic - MLTK | ESCU - Previously seen command line arguments",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Orangeworm Attack Group","Detect activities and various techniques associated with the Orangeworm Attack Group a group that frequently targets the healthcare industry.",,"Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,Malware,,"Command-Line Interface | Defense Evasion | Disabling Security Tools | Execution | Modify Existing Service | New Service | Persistence | Privilege Escalation | Scripting","Actions on Objectives | Command and Control | Installation","ESCU - First Time Seen Running Windows Service - Rule | ESCU - First time seen command line argument - Rule | ESCU - Sc.exe Manipulating Windows Services - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table | ESCU - Investigate Web Activity From Host",,"ESCU - Previously Seen Running Windows Services | ESCU - Previously seen command line arguments",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Phishing Payloads","Detect signs of malicious payloads that may indicate that your environment has been breached via a phishing attack.",,"Carbon Black Response | CrowdStrike Falcon | Sysmon | Tanium | Ziften",,"Adversary Tactics",,"Initial Access | Spearphishing Attachment","Actions on Objectives | Installation","ESCU - Detect Oulook.exe writing a .zip file - Rule | ESCU - Suspicious LNK file launching a process - Rule","ESCU - Get Parent Process Info",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Possible Backdoor Activity Associated With MUDCARP Espionage Campaigns","Monitor your environment for suspicious behaviors that resemble the techniques employed by the MUDCARP threat group.",,"Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,"Adversary Tactics",,"AppInit DLLs | Authentication Package | Command-Line Interface | Execution | Persistence | PowerShell | Registry Run Keys / Start Folder | Scripting","Actions on Objectives | Command and Control","ESCU - First time seen command line argument - Rule | ESCU - Malicious PowerShell Process - Connect To Internet With Hidden Window - Rule | ESCU - Registry Keys Used For Persistence - Rule | ESCU - Unusually Long Command Line - MLTK - Rule | ESCU - Unusually Long Command Line - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Registry Activities | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table | ESCU - Investigate Web Activity From Host",,"ESCU - Baseline of Command Line Length - MLTK | ESCU - Previously seen command line arguments",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Prohibited Traffic Allowed or Protocol Mismatch","Detect instances of prohibited network traffic allowed in the environment as well as protocols running on non-standard ports. Both of these types of behaviors typically violate policy and can be leveraged by attackers.",,"Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,"Best Practices",,"Command and Control | Commonly Used Port | Defense Evasion | Exfiltration | Exfiltration Over Alternative Protocol","Actions on Objectives | Command and Control | Delivery","ESCU - Detect hosts connecting to dynamic domain providers - Rule | ESCU - Prohibited Network Traffic Allowed - Rule | ESCU - Protocol or Port Mismatch - Rule | ESCU - TOR Traffic - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get DNS Server History for a host | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Process Information For Port Activity | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate",Ransomware,"Leverage searches that allow you to detect and investigate unusual activities that might relate to ransomware--spikes in SMB traffic suspicious wevtutil usage the presence of common ransomware extensions and system processes run from unexpected locations and many others.",,"Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Nessus | Netbackup | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,Malware,,"AppInit DLLs | Authentication Package | Command and Control | Commonly Used Port | Defense Evasion | Execution | Exfiltration | Exfiltration Over Alternative Protocol | Impact | Indicator Removal on Host | Lateral Movement | Masquerading | Persistence | Registry Run Keys / Start Folder | Scheduled Task | Windows Management Instrumentation","Actions on Objectives | Command and Control | Delivery","ESCU - Common Ransomware Extensions - Rule | ESCU - Common Ransomware Notes - Rule | ESCU - Deleting Shadow Copies - Rule | ESCU - Prohibited Network Traffic Allowed - Rule | ESCU - Registry Keys Used For Persistence - Rule | ESCU - Remote Process Instantiation via WMI - Rule | ESCU - SMB Traffic Spike - MLTK - Rule | ESCU - SMB Traffic Spike - Rule | ESCU - Scheduled tasks used in BadRabbit ransomware - Rule | ESCU - Schtasks used for forcing a reboot - Rule | ESCU - Spike in File Writes - Rule | ESCU - Suspicious wevtutil Usage - Rule | ESCU - System Processes Run From Unexpected Locations - Rule | ESCU - TOR Traffic - Rule | ESCU - USN Journal Deletion - Rule | ESCU - Unusually Long Command Line - MLTK - Rule | ESCU - Unusually Long Command Line - Rule | ESCU - Windows Event Log Cleared - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Backup Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Process Information For Port Activity | ESCU - Get Registry Activities | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get Sysmon WMI Activity for Host | ESCU - Get Update Logs For Endpoint | ESCU - Get User Information from Identity Table | ESCU - Get Vulnerability Logs For Endpoint | ESCU - Investigate Web Activity From Host",,"ESCU - Baseline of Command Line Length - MLTK | ESCU - Baseline of SMB Traffic - MLTK",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Router & Infrastructure Security","Validate the security configuration of network infrastructure and verify that only authorized users and systems are accessing critical assets. Core routing and switching infrastructure are common strategic targets for attackers.",,"Active Directory | Linux | Microsoft Windows | Palo Alto Firewall | Splunk Enterprise Security | macOS",,"Best Practices",,,"Actions on Objectives","ESCU - Detect New Login Attempts to Routers - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","SQL Injection","Use the searches in this Analytic Story to help you detect structured query language (SQL) injection attempts characterized by long URLs that contain malicious parameters.",,"Bro | Linux | Microsoft Windows | Splunk Enterprise Security | Splunk Stream | macOS",,"Adversary Tactics",,"Commonly Used Port | Defense Evasion | Execution | Exploitation of Vulnerability",Delivery,"ESCU - SQL Injection with Long URLs - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Risk Modifiers For Endpoint",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","SamSam Ransomware","Leverage searches that allow you to detect and investigate unusual activities that might relate to the SamSam ransomware including looking for file writes associated with SamSam RDP brute force attacks the presence of files with SamSam ransomware extensions suspicious psexec use and more.",,"Apache | Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Nessus | Netbackup | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,Malware,,"Command-Line Interface | Credential Access | Defense Evasion | Discovery | Execution | Exploitation of Vulnerability | Impact | Lateral Movement | Remote Desktop Protocol | System Information Discovery","Actions on Objectives | Command and Control | Delivery | Installation | Reconnaissance","ESCU - Batch File Write to System32 - Rule | ESCU - Common Ransomware Extensions - Rule | ESCU - Common Ransomware Notes - Rule | ESCU - Deleting Shadow Copies - Rule | ESCU - Detect PsExec With accepteula Flag - Rule | ESCU - Detect attackers scanning for vulnerable JBoss servers - Rule | ESCU - Detect malicious requests to exploit JBoss servers - Rule | ESCU - File with Samsam Extension - Rule | ESCU - Prohibited Software On Endpoint - Rule | ESCU - Remote Desktop Network Bruteforce - Rule | ESCU - Remote Desktop Network Traffic - Rule | ESCU - Samsam Test File Write - Rule | ESCU - Spike in File Writes - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Backup Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Process Information For Port Activity | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get Update Logs For Endpoint | ESCU - Get User Information from Identity Table | ESCU - Get Vulnerability Logs For Endpoint | ESCU - Investigate Successful Remote Desktop Authentications | ESCU - Investigate Web Activity From Host",,"ESCU - Add Prohibited Processes to Enterprise Security",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Spectre And Meltdown Vulnerabilities","Assess and mitigate your systems' vulnerability to Spectre and Meltdown exploitation with the searches in this Analytic Story.",,"Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Nessus | Qualys | Splunk Enterprise Security | Sysmon | Tanium | Ziften | macOS",,Vulnerability,,,,"ESCU - Spectre and Meltdown Vulnerable Systems - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table",,"ESCU - Systems Ready for Spectre-Meltdown Windows Patch",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Splunk Enterprise Vulnerability","Keeping your Splunk deployment up to date is critical and may help you reduce the risk of CVE-2016-4859 an open-redirection vulnerability within some older versions of Splunk Enterprise. The detection search will help ensure that users are being properly authenticated and not being redirected to malicious domains.",,"Splunk Enterprise | Splunk Enterprise Security",,Vulnerability,,"Defense Evasion | Exploitation of Vulnerability",Delivery,"ESCU - Open Redirect in Splunk Web - Rule","ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Risk Modifiers For Endpoint",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Splunk Enterprise Vulnerability CVE-2018-11409","Reduce the risk of CVE-2018-11409 an information disclosure vulnerability within some older versions of Splunk Enterprise with searches designed to help ensure that your Splunk system does not leak information to authenticated users.",,"Bluecoat | Bro | Palo Alto Firewall | Splunk Enterprise | Splunk Enterprise Security | Splunk Stream",,Vulnerability,,"Defense Evasion | Exploitation of Vulnerability",Delivery,"ESCU - Splunk Enterprise Information Disclosure - Rule","ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Risk Modifiers For Endpoint | ESCU - Investigate Network Traffic From src_ip | ESCU - Investigate Web Activity From src_ip",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Suspicious AWS EC2 Activities","Use the searches in this Analytic Story to monitor your AWS EC2 instances for evidence of anomalous activity and suspicious behaviors such as EC2 instances that originate from unusual locations or those launched by previously unseen users (among others). Included investigative searches will help you probe more deeply when the information warrants it.",,"AWS | Splunk Enterprise Security",,"Cloud Security",,"Defense Evasion | Execution","Actions on Objectives","ESCU - Abnormally High AWS Instances Launched by User - MLTK - Rule | ESCU - Abnormally High AWS Instances Launched by User - Rule | ESCU - Abnormally High AWS Instances Terminated by User - MLTK - Rule | ESCU - Abnormally High AWS Instances Terminated by User - Rule | ESCU - EC2 Instance Started In Previously Unseen Region - Rule | ESCU - EC2 Instance Started With Previously Unseen User - Rule","ESCU - AWS Investigate User Activities By ARN | ESCU - Get EC2 Instance Details by instanceId | ESCU - Get EC2 Launch Details | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get User Information from Identity Table | ESCU - Investigate AWS activities via region name",,"ESCU - Baseline of Excessive AWS Instances Launched by User - MLTK | ESCU - Baseline of Excessive AWS Instances Terminated by User - MLTK | ESCU - Previously Seen AWS Regions | ESCU - Previously Seen EC2 Launches By User",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Suspicious AWS Login Activities","Monitor your AWS authentication events using your CloudTrail logs. Searches within this Analytic Story will help you stay aware of and investigate suspicious logins.",,AWS,,"Cloud Security",,"Credential Access","Actions on Objectives","ESCU - Detect AWS Console Login by User from New City - Rule | ESCU - Detect AWS Console Login by User from New Country - Rule | ESCU - Detect AWS Console Login by User from New Region - Rule | ESCU - Detect new user AWS Console Login - Rule","ESCU - AWS Investigate User Activities By ARN",,"ESCU - Previously seen users in CloudTrail | ESCU - Update previously seen users in CloudTrail",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Suspicious AWS S3 Activities","Use the searches in this Analytic Story to monitor your AWS S3 buckets for evidence of anomalous activity and suspicious behaviors such as detecting open S3 buckets and buckets being accessed from a new IP. The contextual and investigative searches will give you more information when required.",,"AWS | Splunk Enterprise Security",,"Cloud Security",,"Credential Access | Execution | Exfiltration | Initial Access","Actions on Objectives","ESCU - Detect New Open S3 buckets - Rule | ESCU - Detect S3 access from a new IP - Rule | ESCU - Detect Spike in S3 Bucket deletion - Rule","ESCU - AWS Investigate User Activities By ARN | ESCU - AWS S3 Bucket details via bucketName | ESCU - Get All AWS Activity From IP Address | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get User Information from Identity Table | ESCU - Investigate AWS activities via region name",,"ESCU - Baseline of S3 Bucket deletion activity by ARN | ESCU - Previously seen S3 bucket access by remote IP",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Suspicious AWS Traffic","Leverage these searches to monitor your AWS network traffic for evidence of anomalous activity and suspicious behaviors such as a spike in blocked outbound traffic in your virtual private cloud (VPC).",,"AWS | Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,"Cloud Security",,"Command and Control | Exfiltration","Actions on Objectives | Command and Control","ESCU - Detect Spike in blocked Outbound Traffic from your AWS - Rule","ESCU - AWS Investigate User Activities By ARN | ESCU - AWS Network ACL Details from ID | ESCU - AWS Network Interface details via resourceId | ESCU - Get All AWS Activity From IP Address | ESCU - Get Authentication Logs For Endpoint | ESCU - Get DNS Server History for a host | ESCU - Get DNS traffic ratio | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Process Info | ESCU - Get Process Information For Port Activity | ESCU - Get Process Responsible For The DNS Traffic | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table",,"ESCU - Baseline of blocked outbound traffic from AWS",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Suspicious Command-Line Executions","Leveraging the Windows command-line interface (CLI) is one of the most common attack techniques--one that is also detailed in the MITRE ATT&CK framework. Use this Analytic Story to help you identify unusual or suspicious use of the CLI on Windows systems.",,"Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,"Adversary Tactics",,"Command-Line Interface | Defense Evasion | Execution | Masquerading | Persistence | Scripting","Actions on Objectives | Command and Control | Exploitation","ESCU - Detect Prohibited Applications Spawning cmd.exe - Rule | ESCU - Detect Use of cmd.exe to Launch Script Interpreters - Rule | ESCU - First time seen command line argument - Rule | ESCU - System Processes Run From Unexpected Locations - Rule | ESCU - Unusually Long Command Line - MLTK - Rule | ESCU - Unusually Long Command Line - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Registry Activities | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table | ESCU - Investigate Web Activity From Host",,"ESCU - Baseline of Command Line Length - MLTK | ESCU - Previously seen command line arguments",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Suspicious DNS Traffic","Attackers often attempt to hide within or otherwise abuse the domain name system (DNS). You can thwart attempts to manipulate this omnipresent protocol by monitoring for these types of abuses.",,"Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,"Adversary Tactics",,"Command and Control | Commonly Used Port | Defense Evasion | Exfiltration | Exfiltration Over Alternative Protocol","Actions on Objectives | Command and Control","ESCU - Clients Connecting to Multiple DNS Servers - Rule | ESCU - DNS Query Length Outliers - MLTK - Rule | ESCU - DNS Query Length With High Standard Deviation - Rule | ESCU - DNS Query Requests Resolved by Unauthorized DNS Servers - Rule | ESCU - Detect Long DNS TXT Record Response - Rule | ESCU - Detect hosts connecting to dynamic domain providers - Rule | ESCU - Detection of DNS Tunnels - Rule | ESCU - Excessive DNS Failures - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get DNS Server History for a host | ESCU - Get DNS traffic ratio | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Process Responsible For The DNS Traffic | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table",,"ESCU - Baseline of DNS Query Length - MLTK",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Suspicious Emails","Email remains one of the primary means for attackers to gain an initial foothold within the modern enterprise. Detect and investigate suspicious emails in your environment with the help of the searches in this Analytic Story.",,"Bluecoat | Bro | Cuckoo | DeepSight | Linux | Microsoft Exchange | Microsoft Windows | Palo Alto Firewall | SMTP | Splunk Enterprise | Splunk Enterprise Security | Splunk Stream | VirusTotal | macOS",,"Adversary Tactics",,"Defense Evasion | Execution",Delivery,"ESCU - Email Attachments With Lots Of Spaces - Rule | ESCU - Monitor Email For Brand Abuse - Rule | ESCU - Suspicious Email Attachment Extensions - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Email Info | ESCU - Get Emails From Specific Sender | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table | ESCU - Investigate Web Activity From Host",,"ESCU - DNSTwist Domain Names",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Suspicious MSHTA Activity","Monitor and detect techniques used by attackers who leverage the mshta.exe process to execute malicious code.",,"Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,"Adversary Tactics",,"AppInit DLLs | Authentication Package | Command-Line Interface | Execution | Persistence | Registry Run Keys / Start Folder","Actions on Objectives | Exploitation","ESCU - Detect Prohibited Applications Spawning cmd.exe - Rule | ESCU - Detect mshta.exe running scripts in command-line arguments - Rule | ESCU - Registry Keys Used For Persistence - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Registry Activities | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table | ESCU - Investigate Web Activity From Host",,"ESCU - Baseline of Command Line Length - MLTK | ESCU - Previously seen command line arguments",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Suspicious Okta Activity","Monitor your Okta environment for suspicious activities. Due to the Covid outbreak many users are migrating over to leverage cloud services more and more. Okta is a popular tool to manage multiple users and the web-based applications they need to stay productive. The searches in this story will help monitor your Okta environment for suspicious activities and associated user behaviors.",,Okta,,"Adversary Tactics",,"Valid Accounts",,"ESCU - Multiple Okta Users With Invalid Credentails From The Same IP - Rule | ESCU - Okta Account Lockout Events - Rule | ESCU - Okta Failed SSO Attempts - Rule | ESCU - Okta User Logins From Multiple Cities - Rule","ESCU - Investigate Okta Activity by IP Address | ESCU - Investigate Okta Activity by app | ESCU - Investigate User Activities In Okta",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Suspicious WMI Use","Attackers are increasingly abusing Windows Management Instrumentation (WMI) a framework and associated utilities available on all modern Windows operating systems. Because WMI can be leveraged to manage both local and remote systems it is important to identify the processes executed and the user context within which the activity occurred.",,"Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Splunk Enterprise Security | Sysmon | Tanium | Ziften | macOS",,"Adversary Tactics",,"Execution | Persistence | Windows Management Instrumentation | Windows Management Instrumentation Event Subscription","Actions on Objectives","ESCU - Process Execution via WMI - Rule | ESCU - Remote Process Instantiation via WMI - Rule | ESCU - Remote WMI Command Attempt - Rule | ESCU - Script Execution via WMI - Rule | ESCU - WMI Permanent Event Subscription - Rule | ESCU - WMI Permanent Event Subscription - Sysmon - Rule | ESCU - WMI Temporary Event Subscription - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get Sysmon WMI Activity for Host | ESCU - Get User Information from Identity Table",,"",
"ESCU Analytic Stories","DA-ESS-ContentUpdate","Suspicious Windows Registry Activities","Monitor and detect registry changes initiated from remote locations which can be a sign that an attacker has infiltrated your system.",,"Bluecoat | Bro | Carbon Black Response | CrowdStrike Falcon | Linux | Microsoft Windows | Palo Alto Firewall | Splunk Enterprise Security | Splunk Stream | Sysmon | Tanium | Ziften | macOS",,"Adversary Tactics",,"Accessibility Features | AppInit DLLs | Application Shimming | Authentication Package | Change Default File Association | Defense Evasion | Lateral Movement | Local Port Monitor | Modify Registry | Persistence | Privilege Escalation | Registry Run Keys / Start Folder","Actions on Objectives","ESCU - Disabling Remote User Account Control - Rule | ESCU - Monitor Registry Keys for Print Monitors - Rule | ESCU - Reg.exe used to hide files/directories via registry keys - Rule | ESCU - Registry Keys Used For Persistence - Rule | ESCU - Registry Keys Used For Privilege Escalation - Rule | ESCU - Registry Keys for Creating SHIM Databases - Rule | ESCU - Remote Registry Key modifications - Rule | ESCU - Suspicious Changes to File Associations - Rule","ESCU - Get Authentication Logs For Endpoint | ESCU - Get Notable History | ESCU - Get Notable Info | ESCU - Get Parent Process Info | ESCU - Get Process Info | ESCU - Get Registry Activities | ESCU - Get Risk Modifiers For Endpoint | ESCU - Get Risk Modifiers For User | ESCU - Get User Information from Identity Table | ESCU - Investigate Web Activity From Host",,"",
