source,title,description,datamodel,"providing_technologies","security_domain",category,usecase,mitre,killchain,"detection_searches","investigative_searches","contextual_searches","support_searches",qualifiedSearch
"Splunk ES Content Update - Correlations","Create local admin accounts using net.exe","This search looks for the creation of local administrator accounts using net.exe.",Endpoint,"Endpoint Detection and Response",,Malware,"Security Monitoring","Execution | Persistence","Actions on Objectives",,,,," tstats `security_content_summariesonly` count values(Processes.user) as user values(Processes.parent_process) as parent_process min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where (Processs.process_name=net.exe OR Processes.process_name=net1.exe) by Processes.process Processes.process_name Processes.dest | `drop_dm_object_name(Processes)` | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)`  | search (process=*localgroup* OR process=*/add* OR process=*user*) |`create_local_admin_via_net_filter`"
"Splunk ES Content Update - Correlations","Create or delete windows shares using net.exe","This search looks for the creation or deletion of hidden shares using net.exe.",Endpoint,"Endpoint Detection and Response",,"Malware | ","Advanced Threat Detection",None,"Actions on Objectives",,,,," tstats `security_content_summariesonly` count values(Processes.user) as user values(Processes.parent_process) as parent_process min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where (Processs.process_name=net.exe OR Processes.process_name=net1.exe) by Processes.process Processes.process_name Processes.dest | `drop_dm_object_name(Processes)` | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | search (process=*share* AND process=*delete*) | `create_or_delete_windows_shares_filter`"
"Splunk ES Content Update - Correlations","Create Remote Thread into LSASS","Detect remote thread creation into LSASS consistent with credential dumping.",,"Windows Security",,"Adversary Tactics | ","Advanced Threat Detection",None,"Actions on Objectives",,,,,"search `sysmon` EventID=8 TargetImage=*lsass.exe | stats count min(_time) as firstTime max(_time) as lastTime by Computer, EventCode, TargetImage, TargetProcessId | rename Computer as dest | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` |`create_remote_thread_into_lsass_filter`"
"Splunk ES Content Update - Correlations","Creation of Shadow Copy","Monitor for signs that Ntdsutil, Vssadmin, or Wmic has been used to create a shadow copy.",Endpoint,"Endpoint Detection and Response",,"Adversary Tactics | ","Advanced Threat Detection",None,"Actions on Objectives",,,,," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where (Processes.process_name=ntdsutil.exe Processes.process=*ntds* Processes.process=*create*) OR (Processes.process_name=vssadmin.exe Processes.process=*create* Processes.process=*shadow*) OR (Processes.process_name=wmic.exe Processes.process=*shadowcopy* Processes.process=*create*) by Processes.dest Processes.user Processes.process_name Processes.process  Processes.parent_process Processes.process_id Processes.parent_process_id | `drop_dm_object_name(Processes)` | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | `creation_of_shadow_copy_filter`"
"Splunk ES Content Update - Correlations","Creation of Shadow Copy with wmic and powershell","This search detects the use of wmic and Powershell to create a shadow copy.",,"Windows Security",,"Adversary Tactics | ","Advanced Threat Detection",None,"Actions on Objectives",,,,,"search `sysmon` Message=*win32_shadowcopy* Message=*Create* | stats count min(_time) as firstTime max(_time) as lastTime by dvc User EventCode Message | rename User as user, dvc as dest | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | `creation_of_shadow_copy_with_wmic_and_powershell_filter`"
"Splunk ES Content Update - Correlations","Credential Dumping via Copy Command from Shadow Copy","This search detects credential dumping using copy command from a shadow copy.",Endpoint,"Endpoint Detection and Response",,"Adversary Tactics | ","Advanced Threat Detection",None,"Actions on Objectives",,,,," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_name=cmd.exe (Processes.process=*\\system32\\config\\sam* OR Processes.process=*\\system32\\config\\security* OR Processes.process=*\\system32\\config\\system* OR Processes.process=*\\windows\\ntds\\ntds.dit*) by Processes.dest Processes.user Processes.process_name Processes.process  Processes.parent_process Processes.process_id Processes.parent_process_id | `drop_dm_object_name(Processes)` | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | `cred_dump_via_copy_from_shadowcopy_filter`"
"Splunk ES Content Update - Correlations","Credential Dumping via Symlink to Shadow Copy","This search detects the creation of a symlink to a shadow copy.",Endpoint,"Endpoint Detection and Response",,"Adversary Tactics | ","Advanced Threat Detection",None,"Actions on Objectives",,,,," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_name=cmd.exe Processes.process=*mklink* Processes.process=*HarddiskVolumeShadowCopy* by Processes.dest Processes.user Processes.process_name Processes.process  Processes.parent_process Processes.process_id Processes.parent_process_id | `drop_dm_object_name(Processes)` | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | `cred_dump_via_symlink_shadowcopy_filter`"
"Splunk ES Content Update - Correlations","Deleting Shadow Copies","The vssadmin.exe utility is used to interact with the Volume Shadow Copy Service.  Wmic is an interface to the Windows Management Instrumentation.  This search looks for either of these tools being used to delete shadow copies.",Endpoint,"Endpoint Detection and Response",,Ransomware,"Security Monitoring",Execution,"Actions on Objectives",,,,," tstats `security_content_summariesonly` count values(Processes.process) as process values(Processes.parent_process) as parent_process min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where (Processes.process_name=vssadmin.exe OR Processes.process_name=wmic.exe)  by Processes.user Processes.process_name Processes.parent_process_name Processes.dest  | `drop_dm_object_name(Processes)` | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | search process=*delete* AND process=*shadow*"
"Splunk ES Content Update - Correlations","Detect Activity Related to Pass the Hash Attacks","This search looks for specific authentication events from the Windows Security Event logs to detect potential attempts at using the Pass-the-Hash technique.",,"Windows Security",,"Lateral Movement","Advanced Threat Detection","Lateral Movement","Actions on Objectives",,,,,"search `wineventlog_security` EventCode=4624 (Logon_Type=3 LogonProcessName=NtLmSsp WorkstationName=WORKSTATION NOT AccountName=""ANONYMOUS LOGON"") OR (EventCode=4624 Logon_Type=9 LogonProcessName=seclogo) | stats count min(_time) as firstTime max(_time) as lastTime by EventCode, Logon_Type, WorkstationName, user, dest | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | `detect_activity_related_to_pass_the_hash_attacks_filter`"
"Splunk ES Content Update - Correlations","Detect API activity from users without MFA","This search looks for CloudTrail events where a user logged into the AWS account, is making API calls and has not enabled Multi Factor authentication. Multi factor authentication adds a layer of security by forcing the users to type a unique authentication code from an approved authentication device when they access AWS websites or services. AWS Best Practices recommend that you enable MFA for privileged IAM users.",,"AWS | Audit Trail",,"Cloud Security | SaaS","Advanced Threat Detection",Execution,None,,,,,"search sourcetype=aws:cloudtrail userIdentity.sessionContext.attributes.mfaAuthenticated=false | search NOT [| inputlookup aws_service_accounts | fields identity | rename identity as user]| stats  count min(_time) as firstTime max(_time) as lastTime values(eventName) as eventName by userIdentity.arn userIdentity.type user | `security_content_ctime(firstTime)`  | `security_content_ctime(lastTime)`"
"Splunk ES Content Update - Correlations","Detect attackers scanning for vulnerable JBoss servers","This search looks for specific GET or HEAD requests to web servers that are indicative of reconnaissance attempts to identify vulnerable JBoss servers. JexBoss is described as the exploit tool of choice for this malicious activity.",Web,"Web Server",,Scanning,"Security Monitoring",Discovery,Reconnaissance,,,,," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Web where (Web.http_method=""GET"" OR Web.http_method=""HEAD"") AND (Web.url=""*/web-console/ServerInfo.jsp*"" OR Web.url=""*web-console*"" OR Web.url=""*jmx-console*"" OR Web.url = ""*invoker*"") by Web.http_method, Web.url, Web.src, Web.dest | `drop_dm_object_name(""Web"")` | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)`"
"Splunk ES Content Update - Correlations","Detect AWS API Activities From Unapproved Accounts","This search looks for successful CloudTrail activity by user accounts that are not listed in the identity table or `aws_service_accounts.csv`. It returns event names and count, as well as the first and last time a specific user or service is detected, grouped by users.",,"AWS | Audit Trail",,"Cloud Security | SaaS","Advanced Threat Detection","Credential Access | Execution","Actions on Objectives",,,,,"search sourcetype=aws:cloudtrail errorCode=success | rename userName as identity | search NOT [| inputlookup identity_lookup_expanded | fields identity] | search NOT [| inputlookup aws_service_accounts | fields identity] | rename identity as user | stats count min(_time) as firstTime max(_time) as lastTime values(eventName) as eventName by user | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)`"
"Splunk ES Content Update - Correlations","Detect AWS Console Login by User from New City","This search looks for CloudTrail events wherein a console login event by a user was recorded within the last hour, then compares the event to a lookup file of previously seen users (by ARN values) who have logged into the console. The alert is fired if the user has logged into the console for the first time within the last hour",,"AWS | Audit Trail",,"Cloud Security | SaaS","Security Monitoring",None,"Actions on Objectives",,,,," inputlookup previously_seen_users_console_logins.csv | stats min(firstTime) as firstTime max(lastTime) as lastTime by user City | join user type=outer [| inputlookup previously_seen_users_console_logins.csv | stats min(firstTime) AS earliestseen by user | fields earliestseen user] | eval userStatus=if(firstTime >= relative_time(now(), ""@d""), ""New City"",""Previously Seen City"") | eval UserData=if(earliestseen >= relative_time(now(), ""@d"") OR isnull(earliestseen), ""New User"",""Old User"") | where userStatus=""New City"" AND UserData=""Old User"" | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)`| `security_content_ctime(earliestseen)` | table user City userStatus firstTime lastTime earliestseen"
"Splunk ES Content Update - Correlations","Detect AWS Console Login by User from New Country","This search looks for CloudTrail events wherein a console login event by a user was recorded within the last hour, then compares the event to a lookup file of previously seen users (by ARN values) who have logged into the console. The alert is fired if the user has logged into the console for the first time within the last hour",,"AWS | Audit Trail",,"Cloud Security | SaaS","Security Monitoring",None,"Actions on Objectives",,,,," inputlookup previously_seen_users_console_logins.csv | stats min(firstTime) as firstTime max(lastTime) as lastTime by user Country | join user type=outer [| inputlookup previously_seen_users_console_logins.csv | stats min(firstTime) AS earliestseen by user | fields earliestseen user] | eval userStatus=if(firstTime >= relative_time(now(), ""@d""), ""New Country"",""Previously Seen Country"") | eval UserData=if(earliestseen >= relative_time(now(), ""@d"") OR isnull(earliestseen), ""New User"",""Old User"") | where userStatus=""New Country"" AND UserData=""Old User"" | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)`|`security_content_ctime(earliestseen)` | table user Country userStatus firstTime lastTime earliestseen"
"Splunk ES Content Update - Correlations","Detect AWS Console Login by User from New Region","This search looks for CloudTrail events wherein a console login event by a user was recorded within the last hour, then compares the event to a lookup file of previously seen users (by ARN values) who have logged into the console. The alert is fired if the user has logged into the console for the first time within the last hour",,"AWS | Audit Trail",,"Cloud Security | SaaS","Security Monitoring",None,"Actions on Objectives",,,,," inputlookup previously_seen_users_console_logins.csv | stats min(firstTime) as firstTime max(lastTime) as lastTime by user Region | join user type=outer [| inputlookup previously_seen_users_console_logins.csv | stats min(firstTime) AS earliestseen by user | fields earliestseen user] | eval userStatus=if(firstTime >= relative_time(now(), ""@d""), ""New Region"",""Previously Seen Region"") | eval UserData=if(earliestseen >= relative_time(now(), ""@d"") OR isnull(earliestseen), ""New User"",""Old User"") | where userStatus=""New Region"" AND UserData=""Old User"" | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | `security_content_ctime(earliestseen)` | table user Region userStatus firstTime lastTime earliestseen"
"Splunk ES Content Update - Correlations","Detect Credential Dumping through LSASS access","This search looks for reading lsass memory consistent with credential dumping.",,"Windows Security",,"Adversary Tactics | ","Advanced Threat Detection",None,"Actions on Objectives",,,,,"search `sysmon` EventCode=10 TargetImage=*lsass.exe (GrantedAccess=0x1010 OR GrantedAccess=0x1410) | stats count min(_time) as firstTime max(_time) as lastTime by Computer, SourceImage, SourceProcessId, TargetImage, TargetProcessId, EventCode, GrantedAccess | rename Computer as dest | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | `detect_credential_dumping_through_LSASS_access_filter`"
"Splunk ES Content Update - Correlations","Detect DNS requests to Phishing Sites leveraging EvilGinx2","This search looks for DNS requests for phishing domains that are leveraging EvilGinx tools to mimic websites.",Web,DNS,,"Adversary Tactics | ","Advanced Threat Detection",None,"Delivery | Command and Control",,,,," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime values(DNS.answer) as answer from datamodel=Network_Resolution.DNS by DNS.dest DNS.src DNS.query host | `drop_dm_object_name(DNS)`| rex field=query "".*?(?<domain>[^./:]+\.(\S{2,3}|\S{2,3}.\S{2,3}))$"" | stats count values(query) as query by domain dest src answer| search `evilginx_phishlets_amazon` OR `evilginx_phishlets_facebook` OR `evilginx_phishlets_github` OR `evilginx_phishlets_0365` OR `evilginx_phishlets_outlook` OR `evilginx_phishlets_aws` OR `evilginx_phishlets_google` | search NOT [ inputlookup legit_domains.csv | fields domain]| join domain type=outer [| tstats count `security_content_summariesonly` values(Web.url) as url from datamodel=Web.Web by Web.dest Web.site | rename ""Web.*"" as * | rex field=site "".*?(?<domain>[^./:]+\.(\S{2,3}|\S{2,3}.\S{2,3}))$"" | table dest domain url] | table count src dest query answer domain url"
"Splunk ES Content Update - Correlations","Detect Excessive Account Lockouts From Endpoint","This search identifies endpoints that have caused a relatively high number of account lockouts in a short period.",Change,Authentication,,"Account Compromise","Security Monitoring",None,None,,,,," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Change.All_Changes where nodename=All_Changes.Account_Management All_Changes.result=""lockout"" by All_Changes.dest All_Changes.result |`drop_dm_object_name(""All_Changes"")` |`drop_dm_object_name(""Account_Management"")`| `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | search count > 5"
"Splunk ES Content Update - Correlations","Detect Excessive User Account Lockouts","This search detects user accounts that have been locked out a relatively high number of times in a short period.",Change,Authentication,,"Account Compromise","Security Monitoring",None,None,,,,," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Change.All_Changes where nodename=All_Changes.Account_Management All_Changes.result=""lockout"" by All_Changes.user All_Changes.result |`drop_dm_object_name(""All_Changes"")` |`drop_dm_object_name(""Account_Management"")`| `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | search count > 5"
"Splunk ES Content Update - Correlations","Detect hosts connecting to dynamic domain providers","Malicious actors often abuse legitimate Dynamic DNS services to host malicious payloads or interactive command and control nodes. Attackers will automate domain resolution changes by routing dynamic domains to countless IP addresses to circumvent firewall blocks, blacklists as well as frustrate a network defenders analytic and investigative processes. This search will look for DNS queries made from within your infrastructure to suspicious dynamic domains.","Network_Resolution",DNS,,"Command and Control","Advanced Threat Detection","Exfiltration | Defense Evasion","Command and Control | Actions on Objectives",,,,," tstats `security_content_summariesonly` count values(DNS.answer) as answer min(_time) as firstTime from datamodel=Network_Resolution by DNS.src, DNS.query | `drop_dm_object_name(""DNS"")` | `security_content_ctime(firstTime)` | `dynamic_dns_providers`"
"Splunk ES Content Update - Correlations","Detect Large Outbound ICMP Packets","This search looks for outbound ICMP packets with a packet size larger than 1,000 bytes. Various threat actors have been known to use ICMP as a command and control channel for their attack infrastructure. Large ICMP packets from an endpoint to a remote host may be indicative of this activity.","Network_Traffic","Network Communication",,"Adversary Tactics","Advanced Threat Detection","Command and Control","Command and Control",,,,," tstats `security_content_summariesonly` count earliest(_time) as firstTime latest(_time) as lastTime values(All_Traffic.action) values(All_Traffic.bytes) from datamodel=Network_Traffic where All_Traffic.action !=blocked All_Traffic.dest_category !=internal (All_Traffic.protocol=icmp OR All_Traffic.transport=icmp) All_Traffic.bytes > 1000 by All_Traffic.src_ip All_Traffic.dest_ip | `drop_dm_object_name(""All_Traffic"")` | search ( dest_ip!=10.0.0.0/8 AND dest_ip!=172.16.0.0/12 AND dest_ip!=192.168.0.0/16) | `security_content_ctime(firstTime)`|`security_content_ctime(lastTime)`"
"Splunk ES Content Update - Correlations","Detect Long DNS TXT Record Response","This search is used to detect attempts to use DNS tunneling, by calculating the length of responses to DNS TXT queries. Endpoints using DNS as a method of transmission for data exfiltration, command and control, or evasion of security controls can often be detected by noting unusually large volumes of DNS traffic.","Network_Resolution",DNS,,"Command and Control","Advanced Threat Detection","Command and Control | Exfiltration","Command and Control",,,,," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Network_Resolution where DNS.message_type=response AND DNS.record_type=TXT by DNS.src DNS.dest DNS.answer DNS.record_type |  `drop_dm_object_name(""DNS"")` | eval anslen=len(answer) | search anslen>100 | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | rename src as ""Source IP"", dest as ""Destination IP"", answer as ""DNS Answer"" anslen as ""Answer Length"" record_type as ""DNS Record Type"" firstTime as ""First Time"" lastTime as ""Last Time"" count as Count | table ""Source IP"" ""Destination IP"" ""DNS Answer"" ""DNS Record Type""  ""Answer Length"" Count ""First Time"" ""Last Time"""
"Splunk ES Content Update - Correlations","Detect malicious requests to exploit JBoss servers","This search is used to detect malicious HTTP requests crafted to exploit jmx-console in JBoss servers. The malicious requests have a long URL length, as the payload is embedded in the URL.",Web,"Web Server",,"Web Attack","Application Security","Defense Evasion",Delivery,,,,," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Web where (Web.http_method=""GET"" OR Web.http_method=""HEAD"") by Web.http_method, Web.url,Web.url_length Web.src, Web.dest | search Web.url=""*jmx-console/HtmlAdaptor?action=invokeOpByName&name=jboss.admin*import*"" AND Web.url_length > 200 | `drop_dm_object_name(""Web"")` | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | table src, dest_ip, http_method, url, firstTime, lastTime"
"Splunk ES Content Update - Correlations","Detect Mimikatz Using Loaded Images","This search looks for reading loaded Images unique to credential dumping with Mimikatz.",,"Windows Security",,"Adversary Tactics | ","Advanced Threat Detection",None,"Actions on Objectives",,,,,"search `sysmon` EventCode=7 | stats values(ImageLoaded) as ImageLoaded values(ProcessId) as ProcessId by Computer, Image | search ImageLoaded=*WinSCard.dll ImageLoaded=*cryptdll.dll ImageLoaded=*hid.dll ImageLoaded=*samlib.dll ImageLoaded=*vaultcli.dll | rename Computer as dest | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | `detect_mimikatz_using_loaded_images_filter`"
"Splunk ES Content Update - Correlations","Detect Mimikatz Via PowerShell And EventCode 4703","This search looks for PowerShell requesting privileges consistent with credential dumping.",,"Windows Security",,"Adversary Tactics","Advanced Threat Detection","Credential Access","Actions on Objectives",,,,,"search eventtype=wineventlog_security signature_id=4703 Process_Name=*powershell.exe | rex field=Message ""Enabled Privileges:\s+(?<privs>\w+)\s+Disabled Privileges:"" | where privs=""SeDebugPrivilege"" | stats count min(_time) as firstTime max(_time) as lastTime by dest, Process_Name, privs, Process_ID, Message | rename privs as ""Enabled Privilege"" | rename Process_Name as process |  `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)`"
"Splunk ES Content Update - Correlations","Detect mshta.exe running scripts in command-line arguments","This search looks for the execution of ""mshta.exe"" with command-line arguments that launch a script. The search will return the first time and last time these command-line arguments were used for these executions, as well as the target system, the user, process ""mshta.exe"" and its parent process.",Endpoint,"Endpoint Detection and Response",,"Adversary Tactics","Advanced Threat Detection","Execution | Persistence",Exploitation,,,,," tstats `security_content_summariesonly` count values(Processes.process) as process values(Processes.parent_process) as parent_process min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_name=mshta.exe by Processes.user Processes.process_name Processes.parent_process_name Processes.dest  | `drop_dm_object_name(Processes)` | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)`| search (process=*vbscript* OR process=*javascript*)"
"Splunk ES Content Update - Correlations","Detect new API calls from user roles","This search detects new API calls that have either never been seen before or that have not been seen in the previous hour, where the identity type is `AssumedRole`.",,"AWS | Audit Trail",,"Cloud Security | SaaS","Advanced Threat Detection",None,None,,,,,"search sourcetype=aws:cloudtrail eventType=AwsApiCall errorCode=success userIdentity.type=AssumedRole [search sourcetype=aws:cloudtrail eventType=AwsApiCall errorCode=success  userIdentity.type=AssumedRole | stats earliest(_time) as earliest latest(_time) as latest by userName eventName |  inputlookup append=t previously_seen_api_calls_from_user_roles | stats min(earliest) as earliest, max(latest) as latest by userName eventName | outputlookup previously_seen_api_calls_from_user_roles| eval newApiCallfromUserRole=if(earliest>=relative_time(now(), ""-70m@m""), 1, 0) | where newApiCallfromUserRole=1 | `security_content_ctime(earliest)` | `security_content_ctime(latest)` | table eventName userName]  |rename userName as user| stats values(eventName) earliest(_time) as earliest latest(_time) as latest by user | `security_content_ctime(earliest)` | `security_content_ctime(latest)`"
"Splunk ES Content Update - Correlations","Detect New Local Admin account","This search looks for newly created accounts that have been elevated to local administrators.",,"Windows Security",,Malware,"Security Monitoring","Defense Evasion | Persistence","Actions on Objectives | Command and Control",,,,,"search eventtype = wineventlog_security signature_id=4720 OR (signature_id=4732 Group_Name= Administrators) | transaction Security_ID connected=false maxspan=180m | search signature_id=4720 signature_id=4732 | table _time user dest signature_id Security_ID Group_Name src_user Message"
"Splunk ES Content Update - Correlations","Detect New Login Attempts to Routers","The search queries the authentication logs for assets that are categorized as routers in the ES Assets and Identity Framework, to identify connections that have not been seen before in the last 30 days.",Authentication,Authentication,,Operations,"Security Monitoring",None,"Actions on Objectives",,,,," tstats `security_content_summariesonly` count earliest(_time) as earliest latest(_time) as latest from datamodel=Authentication where Authentication.dest_category=router by Authentication.dest Authentication.user| eval isOutlier=if(earliest >= relative_time(now(), ""-30d@d""), 1, 0) | where isOutlier=1| `security_content_ctime(earliest)`| `security_content_ctime(latest)` | `drop_dm_object_name(""Authentication"")`"
"Splunk ES Content Update - Correlations","Detect New Open S3 buckets","This search looks for CloudTrail events where a user has created an open/public S3 bucket.",,"AWS | Audit Trail",,"Cloud Security | SaaS","Advanced Threat Detection","Execution | Initial Access | Exfiltration","Actions on Objectives",,,,,"search sourcetype=aws:cloudtrail AllUsers eventName=PutBucketAcl | spath output=userIdentityArn path=userIdentity.arn | spath output=bucketName path=requestParameters.bucketName | spath output=aclControlList path=requestParameters.AccessControlPolicy.AccessControlList | spath input=aclControlList output=grantee path=Grant{} | mvexpand grantee | spath input=grantee | search Grantee.URI=*AllUsers | rename userIdentityArn as user| table _time, src,awsRegion Permission, Grantee.URI, bucketName, user"
"Splunk ES Content Update - Correlations","Detect new user AWS Console Login","This search looks for CloudTrail events wherein a console login event by a user was recorded within the last hour, then compares the event to a lookup file of previously seen users (by ARN values) who have logged into the console. The alert is fired if the user has logged into the console for the first time within the last hour",,"AWS | Audit Trail",,"Cloud Security | SaaS","Advanced Threat Detection","Credential Access","Actions on Objectives",,,,,"search sourcetype=aws:cloudtrail eventName=ConsoleLogin | rename userIdentity.arn as user | stats earliest(_time) as firstTime latest(_time) as lastTime by user | inputlookup append=t previously_seen_users_console_logins.csv  | stats min(firstTime) as firstTime max(lastTime) as lastTime by user | eval userStatus=if(firstTime >= relative_time(now(), ""-70m@m""), ""First Time Logging into AWS Console"",""Previously Seen User"") | `security_content_ctime(firstTime)`|`security_content_ctime(lastTime)`| where userStatus =""First Time Logging into AWS Console"""
"Splunk ES Content Update - Correlations","Detect Oulook.exe writing a .zip file","This search looks for execution of process `outlook.exe` where the process is writing a `.zip` file to the disk.",Endpoint,"Endpoint Detection and Response",,"Adversary Tactics | ","Advanced Threat Detection",None,"Installation | Actions on Objectives",,,,," tstats `security_content_summariesonly`  min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Processes where Processes.process_name=outlook.exe OR Processes.process_name=explorer.exe by _time span=5m Processes.parent_process_id Processes.process_id Processes.dest Processes.process_name Processes.parent_process_name Processes.user | `drop_dm_object_name(Processes)` | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | rename process_id as malicious_id| rename parent_process_id as outlook_id| join malicious_id type=inner[| tstats `security_content_summariesonly` count values(Filesystem.file_path) as file_path values(Filesystem.file_name) as file_name  FROM datamodel=Endpoint.Filesystem where (Filesystem.file_path=*zip*   OR Filesystem.file_name=*.lnk ) AND (Filesystem.file_path=C:\\Users* OR Filesystem.file_path=*Local\\Temp*) by  _time span=5m Filesystem.process_id Filesystem.file_hash Filesystem.dest  | `drop_dm_object_name(Filesystem)` | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | rename process_id as malicious_id| fields malicious_id outlook_id dest file_path file_name file_hash count file_id] | table firstTime lastTime user malicious_id outlook_id process_name parent_process_name file_name  file_path | where file_name != """" | `outlook_writing_zip_filter`"
"Splunk ES Content Update - Correlations","Detect Outbound SMB Traffic","This search looks for outbound SMB connections made by hosts within your network to the Internet. SMB traffic is used for Windows file-sharing activity. One of the techniques often used by attackers involves retrieving the credential hash using an SMB request made to a compromised server controlled by the threat actor.","Network_Traffic","Network Communication",,Malware,"Security Monitoring","Credential Access | Lateral Movement","Actions on Objectives | Command and Control",,,,," tstats `security_content_summariesonly` count earliest(_time) as earliest latest(_time) as latest values(All_Traffic.action) from datamodel=Network_Traffic where All_Traffic.action !=blocked All_Traffic.dest_category !=internal (All_Traffic.dest_port=139 OR All_Traffic.dest_port=445 OR All_Traffic.app=smb) by All_Traffic.src_ip All_Traffic.dest_ip | `drop_dm_object_name(""All_Traffic"")` | search ( dest_ip!=10.0.0.0/8 AND dest_ip!=172.16.0.0/12 AND dest_ip!=192.168.0.0/16) | `security_content_ctime(earliest)`| `security_content_ctime(latest)` | `outbound_smb_connections_filter`"
"Splunk ES Content Update - Correlations","Detect Path Interception By Creation Of program.exe","The search is looking for the creation of program.exe in the C: drive.  The creation of this file in that location may be driven by a motive to perform path interception.",Endpoint,"Endpoint Detection and Response",,"Adversary Tactics","Advanced Threat Detection","Privilege Escalation | Persistence","Actions on Objectives",,,,," tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime values(Filesystem.user) as user values(Filesystem.dest) as dest values(Filesystem.file_hash) as file_hash values(Filesystem.file_path) as file_path from datamodel=Endpoint.Filesystem where Filesystem.file_path=""C:\\program.exe"" by Filesystem.file_name | `drop_dm_object_name(Filesystem)` | `security_content_ctime(lastTime)` | `security_content_ctime(firstTime)`"
"Splunk ES Content Update - Correlations","Detect processes used for System Network Configuration Discovery","This search looks for fast execution of processes used for system network configuration discovery on the endpoint.",Endpoint,"Endpoint Detection and Response",,"Malware | ","Security Monitoring",Execution,"Installation | Command and Control | Actions on Objectives",,,,," tstats `security_content_summariesonly` count values(Processes.process) as process values(Processes.parent_process) as parent_process min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes by Processes.dest Processes.process_name Processes.user _time | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `drop_dm_object_name(Processes)` | search `system_network_configuration_discovery_tools` | transaction dest connected=false maxpause=5m |where eventcount>=5 | table firstTime lastTime dest user process_name process parent_process eventcount"
"Splunk ES Content Update - Correlations","Detect Prohibited Applications Spawning cmd.exe","This search looks for executions of cmd.exe spawned by a process that is often abused by attackers and that does not typically launch cmd.exe.",Endpoint,"Endpoint Detection and Response",,"Endpoint Compromise","Advanced Threat Detection",Execution,Exploitation,,,,," tstats `security_content_summariesonly` count values(Processes.process) as process min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_name=cmd.exe by Processes.parent_process_name Processes.process_name Processes.dest Processes.user| `drop_dm_object_name(Processes)` | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` |search [`prohibited_apps_launching_cmd`]"
